Organism,Description
Abidef,Abiotrophia defectiva
Abio/Gran,Abiotrophia/Granulicatella species
Achden,Achromobacter denitrificans
Achro,Achromobacter species
Achspe,Achromobacter species
Achxyl,Achromobacter xylosoxidans
Acibau,Acinetobacter baumannii
AcibauC,Acinetobacter baumannii complex
AcibauG,Acinetobacter baumannii genus
Acicalcpx,Acinetobacter calcoaceticus-baumannii complex
Acidel,Acidovorax delafieldii
Acihae,Acinetobacter haemolyticus
Acijoh,Acinetobacter johnsonii
Acijun,Acinetobacter junii
Acilwo,Acineobacter lwoffii
Acine,Acinetobacter species genus
Acispe,Acinetobacter species
Aciurs,Acinetobacter ursingii
Actact,Aggregatibacter (Actinobacillus) actinomycetemcomitans
Actgspe,Actinotigum species
Actinomy,Actinomyces species
Actinoneu,Actinomyces neuii
Actinosch,Actinotignum schaalii
Actnos,
Actodo,Schaalia odontolyticus (formerly Actinomyces odontolyticus) 
Actpit,Acinetobacter pittii
Actspe,Actinomyces species
Acttur,Actinomyces turicensis
Aercav,Aeromonas cavae
Aerhyd,Aeromonas hydrophila
Aerhydcav,Aeromonas hydrophila/cavae
Aerhydgrp,Aeromonas hydrophila group
Aerhydsob,Aeromonas hydrophila/sobria
Aeroc,Aerococcus species
AeromGp,Aeromonas group
Aerospe,Aerococcus species
Aersob,Aeromonas sobria
Aerspe,Aeromonas species
Aeruri,Aerococcus urinae
Aerver,Aeromonas veronii
Aervir,Aerococcus viridans
AFB,Acid fast bacilli
AFB Rapid,Rapidly growing acid fast bacilli
AFB Secti,Acid-fast bacilli section
Aggregsp,Aggregatibacter species
Agrob,Acrobacterium species
AlcAchgp,Alcaligenes/Achromobacter group
Alcfae,Alcaligenes faecalis
Alcfaespe,Alcaligenes faecalis spp faecalis
Alcspe,Alcaligenes species
Alpha,Alpha-hemolytic Streptococcus
Alpnd,"Alpha-hemolytic Strep, not Group D"
Alpnec,"Alpha-hemolytic Strep, not Group D"
Archae,"Alpha-hemolytic Strep, not Enterococcus"
Arthro,Arthrobacter species
B,
Baccac,Bacterioides caccae (Bacteroides fragilis group)
Baccer,Bacillus cereus
Baccergp,Bacillus cereus group
Bacdis,Parabacteroides distasonis (formerly Bacteroides distasonis)
Bacegg,Bacteroides eggerthii (Bacteroides fragilis group)
Bacfra,Bacteroides fragilis
BacfraG,Bacteroides fragilis group
Bacil,Bacillus species
BacNBF,"Bacteroides species, not Bacteroides fragilis group"
Bacova,Bacteroides ovatus (Bacteroides fragilis group)
Bacovxy,Bacteroides ovatus/xylanisolvens (Bacteroides fragilis group)
Bacpyo,Bacteroides pyogenes
Bacspe,Bacillus species
Bacstr,Bacteroides stercoris (Bacteroides fragilis group)
Bacsubgp,Bacillus subtilis group 
Bacte,Bacteroides species
Bacthe,Bacteroides thetaiotaomicron (Bacteroides fragilis group)
Bacuni,Bacteroidies uniformis (Bacterioides fragilis group)
Bacvul,Bacteroides vulgatus (Bacteroides fragilis group)
Beta,Beta-hemolytic Streptococcus
Bifid,Bifidobacterium species
Bifspe,Bifidobacterium species
Borbro,Bordetella bronchiseptica
Borde,Bordetella species
Borhin,Bordetella hinzii
BorNper,Bordetella species not Bordetella pertussis
Borspe,Bordetella species
Bortre,Bordetella trematum
Brecas,Brevibacterium casei
Bredim,Brevundimonas diminuta
Bredimves,Brevundimonas diminuta/vesicularis
Brespe,Brevundimonas species
Breves,Brevundimonas vesicularis
Brevi,Brevibacillus species
Brevibact,Brevibacterium species
Brevu,Brevundimonas species
Bucc,Burkholderia cepacia complex
BuccG,Burkholderia cepacia
Burcen,Burkholderia cenocepacia
Burcep,Burkholderia cepacia
Burgla,Burkholideria gladioli
Burkh,Burkholderia species
Burmul,Burkholderia multivorans
Burpse,Burkholderia pseudomallei
Burspe,Burkholderia species
Burvie,Burkholderia vietnamiensis
Butti,Buttiauxella species
Camcol,Campylobacter coli
Camjeco,Campylobacter jejuni-coli
CamjecoG,Campylobacter coli
Camjej,Campylobacter jejuni
Camjejjej,Campylobacter jejuni spp. Jejuni
Campylo,Campylobacter species
Camspe,Campylobacter species
